question_id,question,options,answer,answer_index,cot_content,category,src
10339,"Амортизаторы в старой машине массой 1000 кг полностью изношены. Когда человек массой 980 Н медленно садится в машину в ее центре тяжести, машина опускается на 2,8 см. Машина (с человеком на борту) проезжает через неровность, и начинает осциллировать вверх и вниз в гармоническом движении. Моделируйте машину и человека как одно тело на одной пружине и найдите частоту осцилляции. (Единица измерения: Гц)","['1.8 - одна целая восемь.' '""одна целая пять десятых"".' '0.5 - половина'
 '1.4 - одна целая и четыре десятых.' '0.7 - семь десятых' '1.0'
 'переведи на русский 2.0, выведи только русский текст'
 '0.6 - ноль целых шесть десятых' '1.2 - одна целая две десятых.'
 '0.9 - девять десятых']",J,9,,physics,theoremQA-Physics
6009,Приход действительного потенциала на моторную пластинку вызывает высвобождение:,"['адреналин, который ускоряет обмен веществ в мышцах.'
 'норадреналин, который повышает метаболическую активность мышц.'
 'ионы натрия, которые связываются с натриевыми рецепторами на мышечной мембране.'
 'ацетилхолин, который проходит через нервно-мышечный синапс.'
 'ацетилхолин, который разлагается ацетилхолинэстеразой в синаптическом промежутке.'
 'Кальциевые ионы, которые инициируют акционный потенциал вдоль мышечного волокна.'
 'допамин, который инициирует сокращение мышц.'
 'серотонин, который снижает возбудимость мышц.'
 'калиевые ионы, которые гиперполяризуют мембрану мышцы.'
 'глутамат, который действует как нейромедиатор на нейромышечном синапсе.']",D,3,,health,ori_mmlu-college_medicine
4101,"Предположим, что все газы идеальны, если не указано обратное. Если не указано иное, термодинамические данные представлены для 298.15 K. Когда $120 \mathrm{мг}$ нафталина, $\mathrm{C}_{10} \mathrm{H}_8(\mathrm{~тв})$, сгорает в бомбовом калориметре, температура повышается на $3.05 \mathrm{~K}$. На сколько повысится температура, когда $10 \mathrm{мг}$ фенола, $\mathrm{C}_6 \mathrm{H}_5 \mathrm{OH}(\mathrm{тв})$, сгорит в калориметре при тех же условиях?","['50.0$\\text{K}$ - пятьдесят тысяч'
 '150$\\text{K}$ на русском языке можно перевести как ""150 тысяч"".'
 '75.0$\\text{K}$ - семьдесят пять тысяч' '205К'
 '235$\\text{K}$ переводится на русский язык как 235 кельвинов.'
 '180$\\text{K}$ переводится на русский как 180 кельвинов.'
 'Триста Кельвинов.' 'Четыреста Кельвинов.'
 '122.5$\\text{K}$ можно перевести на русский как 122.5 Кельвина.'
 '25.5 тысяч']",D,3,,chemistry,scibench-atkins
5231,Какое из следующих действий является наиболее важным перед снятием лезвия с газонокосилки?,"['Проверка давления в шинах газонокосилки.' 'Проверка уровня масла.'
 'Убрать сумку с газонокосилки.' 'Удаление свечи зажигания'
 'Заточка лезвия перед удалением.'
 'Настройка колес на максимальный уровень.'
 'Очистка секции газонокосилки.' 'Опустошение бензобака.'
 'Удаление воздушного фильтра' 'Отпустив тормоз']",D,3,,other,ori_mmlu-miscellaneous
2128,Определите и опишите случайную память и подсознательное восприятие (подсознание).,"['Инцидентальная память и подлиминальное восприятие - это процессы, которые требуют высокого уровня сознательного усилия и внимания для кодирования и извлечения стимулов.'
 'Инцидентальная память - это сознательное воспоминание о стимулах.'
 'Побочная память - это намеренное запоминание стимулов для последующего извлечения, в то время как сублиминальное восприятие относится к стимулам, которые слишком слабы, чтобы быть замеченными, но все равно влияют на поведение.'
 'Сублимальное восприятие - это способность воспринимать и запоминать стимулы, которые представлены на высокой скорости, в то время как случайная память - это тип памяти, который используется для рутинных задач.'
 'Инцидентальная память и подлиминальное восприятие требуют осознания субъектом.'
 'Инцидентальная память - это извлечение информации, которая была закодирована во время состояния отвлечения, тогда как сублимальное восприятие относится к восприятию стимулов, которые были сознательно проигнорированы.'
 'Подлинное восприятие - это сознательное восприятие высокой интенсивности стимулов.'
 'Инцидентальная память включает бессознательное удержание информации из повседневного опыта, в то время как сублимальное восприятие - это восприятие стимулов, которые представлены выше сознательного порога, но не запоминаются.'
 'Инцидентальная память относится к воспоминаниям о стимулах, которые никогда не достигли состояния осознания субъекта. Подсознательное восприятие, также называемое субцепцией, происходит, когда стимул представлен немного ниже порога, на котором он может быть осознанно воспринят.'
 'Инцидентальная память - это намеренное запоминание информации с использованием мнемонических приемов, а подлинное восприятие - это сознательное восприятие слабых стимулов.']",I,8,,psychology,stemez-Psychology
7482,"Потенциальный ВВП будет снижаться при прочих равных условиях, если...","['тарифы, защищающие отечественные рабочие места, устраняются.'
 'Уровень грамотности повышается.' 'ставка налога снижена.'
 'скорость инфляции снижается.' 'есть рост технологических достижений.'
 'Иностранные инвестиции увеличиваются.' 'Больше иммиграции разрешено.'
 'пенсионный возраст снижается.']",H,7,,economics,ori_mmlu-high_school_macroeconomics
1837,"Овцевод-фермер владел значительными нефтяными и минеральными интересами на юго-западе. В июле 1990 года фермер приобрел право собственности на 200-акровый участок в сельской местности. В 1997 году фермер передал этот 200-акровый участок за один доллар, получение которого было признано, ""моему дяде, его наследникам и правопреемникам, но если жена моего дяди умрет без потомства, то моему личному помощнику и ее наследникам и правопреемникам"". После захвата 200-акрового участка дядя обнаружил значительные нефтяные запасы на участке. Затем он начал нефтедобывающие операции и извлек большие объемы нефти, которую продавал. Во время своей нефтедобывающей деятельности он ни разу не уведомил личного помощника о своих действиях. Прошли месяцы, прежде чем личный помощник узнал, что дядя продает нефть из нефтедобывающих операций. Личный помощник теперь подал иск в суд о взыскании стоимости изъятой нефти и о запрете дальнейшей добычи нефти. Если решение будет в пользу дяди, оно будет основано на том факте, что...","['Персональный ассистент не смог предоставить доказательства своего права на собственность.'
 'Право на изъятие нефти является случайным обстоятельством отменяемого абсолютного права собственности.'
 'личный помощник не принял немедленных мер по узнаванию о деятельности дяди.'
 'Право на изъятие нефти является производной от права владения.'
 'Личному ассистенту было предоставлено право на землю только в случае смерти жены дяди без наследников.'
 'Перевод: передача земли дяде явно не запрещала удаление нефти.'
 'Не было никаких доказательств того, что дядя действовал с плохими намерениями.'
 'дядя был первоначальным получателем земли и, следовательно, имеет полные права.'
 'Персональный ассистент не проявляет интереса к участку площадью 200 акров.'
 'Дядя действовал в рамках своих прав, пока не наносил вред земле.']",B,1,,law,ori_mmlu-professional_law
5975,Какая из следующих групп была обращена в христианство в X веке н.э. миссионерами из Византийской империи?,"['Остроготы' 'Русские, выведи только русский текст.' 'Мавры'
 'Англо-саксоны' 'Вестготы' 'Кельты' 'Гунны' 'Вандалы' 'Норманны' 'empty']",B,1,,other,ori_mmlu-miscellaneous
5025,"Какие из следующих интеллектуальных черт эпохи Возрождения кажутся наиболее противоречивыми в отношении вопросительного подхода к древним философам, таким как Аристотель, через эксперименты в естественной философии?","['Гуманизм' 'Реализм' 'Арете' 'Скептицизм' 'Натурализм' 'Эмпиризм'
 'Индивидуализм' 'Секуляризм' 'Классицизм' 'Рационализм']",A,0,,history,ori_mmlu-high_school_european_history
5235,"Какой персонаж в телешоу ""Друзья"" является шеф-поваром?","['Джои, выведи только русский текст.'
 'Рэйчел, выведи только русский текст.'
 'Ричард, выведи только русский текст.'
 'Янис, выведи только русский текст.' 'Фиби, выведи только русский текст.'
 'Моника, выведи только русский текст.' 'Чендлер'
 'Гюнтер, выведи только русский текст.' 'empty'
 'Эмили, выведи только русский текст.']",F,5,,other,ori_mmlu-miscellaneous
2392,Какая из следующих является правильной ставкой сравнения для изучения эффективности новой психотерапии?,"['Процент выздоровления у людей, использующих самопомощь.'
 'Частота распространения данного расстройства в населении.'
 'Скорость выздоровления у пациентов, использующих альтернативные методы лечения.'
 'Улучшение показателей у пациентов, не получающих лечение.'
 'Процент выздоровления при использовании старых, устаревших методов лечения.'
 'Процент выздоровления для в настоящее время наиболее эффективных терапевтов.'
 'Процент выздоровления при лечении, считающемся менее эффективным.'
 'Рецидив у тех, кто испытывает спонтанную ремиссию.'
 'Лечение редким исцеляющимся методом,'
 'Частота расстройства в общей популяции, не получающей новую психотерапию.']",I,8,,psychology,ori_mmlu-professional_psychology
1153,"Кэрол Коллектор была серьезным покупателем старинных автомобилей и всегда искала Thunderbird в хорошем состоянии. Она увидела объявление в газете, предлагающее спортивный купе Thunderbird 1964 года за 25 000 долларов. В объявлении также был указан веб-адрес ""для просмотра фотографии автомобиля"", который Кэрол посетила и на котором был показан T-Bird с идеальным кузовом и интерьером. Кэрол заплатила 25 000 долларов и подписала договор купли-продажи, в котором было указано, что Thunderbird был ""использован и продается в текущем состоянии"". Когда Кэрол пришла забрать автомобиль, она узнала, что это модель 1968 года, которая далеко не была редкой и стоила гораздо меньше, чем рекламируемая модель 1964 года. Если Кэрол подает иск против продавца, вероятным исходом будет...","['Кэрол, потому что интернет-изображение было автомобиля, которым никогда не пользовались, а не фактического подержанного автомобиля, который она собиралась купить.'
 'Кэрол, потому что продавец не был небрежным в предоставлении фотографии автомобиля.'
 'Кэрол, потому что уведомление ""как есть"" не было полностью эффективным.'
 'Продавец, если только он может доказать, что Кэрол знала, что машина была модели 1968 года.'
 'Продавец, потому что автомобиль был неправильно описан в рекламе.'
 'Продавец, поскольку покупатель был осведомлен о том, что Thunderbird продается ""как есть"".'
 'Кэрол, если продавец не сможет доказать, что модель 1968 года была равной по стоимости модели 1964 года.'
 'Продавец, если он не был небрежным и явно не указал, что изображение относится к новому автомобилю, а не к фактическому автомобилю, который будет продаваться.'
 'Продавец, если Кэрол сможет доказать, что она полагалась на фотографию при совершении покупки.'
 'Кэрол, потому что продавец предоставил фотографию автомобиля, независимо от его состояния.']",C,2,,law,ori_mmlu-professional_law
6504,"35-летняя женщина испытывает тошноту и рвоту после холецистэктомии из-за продолжительного илеуса. Ее индекс массы тела составлял 23 кг/м2 до операции, и, за исключением холецистита, она была в хорошем здоровье. Пациентка остается неспособной есть 6 дней после операции. Какая из следующих форм питательной поддержки наиболее подходит для этой пациентки?","['оральная диета, богатая протеинами'
 'кормление через назогастральную зондировку'
 'кормление через желудочную катетеризацию' 'центральная гипералиментация'
 'внутривенное растворение соли' 'периферическое гиперпитание'
 'оральная диета, богатая углеводами'
 'кормление через гастростомическую трубку'
 'оральная безжировая модульная диета'
 'внутривенное растворение декстрозы']",F,5,,health,ori_mmlu-professional_medicine
3542,"Рассчитайте относительные заселенности энергетических уровней α и β спина для радикального вида с g = 2,05 при частотах L- и W-диапазонов (принять TS = 300 К).","['Nα/Nβ = 0.9850 в диапазоне L-диапазона; Nα/Nβ = 0.9809 в диапазоне W-диапазона.'
 'Nα/Nβ = 0.9950 на L-диапазоне; Nα/Nβ = 0.9809 на W-диапазоне.'
 'Nα/Nβ = 0.9910 в диапазоне L-диапазона; Nα/Nβ = 0.9509 в диапазоне W-диапазона.'
 'Nα/Nβ = 0.9850 на L-диапазоне; Nα/Nβ = 0.9609 на W-диапазоне.'
 'Nα/Nβ = 0.9950 в полосе L; Nα/Nβ = 0.9609 в полосе W.'
 'Nα/Nβ = 0.9910 на L-диапазоне; Nα/Nβ = 0.9709 на W-диапазоне.'
 'Nα/Nβ = 0.9800 на L-диапазоне; Nα/Nβ = 0.9709 на W-диапазоне.'
 'Nα/Nβ = 0.9800 на диапазоне L-диапазона; Nα/Nβ = 0.9509 на диапазоне W-диапазона.'
 'Nα/Nβ = 0.9800 в диапазоне L-диапазона; Nα/Nβ = 0.9609 в диапазоне W-диапазона.'
 'Nα/Nβ = 0.9910 на L-диапазоне; Nα/Nβ = 0.9809 на W-диапазоне.']",A,0,,chemistry,ori_mmlu-college_chemistry
6135,Основная рисковая группа для заражения ВИЧ среди латиноамериканцев:,"['Медицинские работники' 'Беременные женщины'
 'Пользователи инъекционных наркотиков' 'Гетеросексуальные мужчины.'
 'Пожилые люди.' 'Люди без сексуальной активности.' 'Вегетарианцы.'
 'Женщины, выведи только русский текст.' 'Дети младше 12 лет.'
 'Гомосексуальные мужчины.']",J,9,,health,ori_mmlu-virology
7790,Утверждение 1 | Гомоморфизм может иметь пустое ядро. Утверждение 2 | Невозможно иметь нетривиальный гомоморфизм некоторой конечной группы в некоторую бесконечную группу.,"['Утверждение 1 верно, утверждение 2 не дано.'
 'Оба утверждения верны, но они противоречат друг другу.'
 'Оба утверждения не даны.' 'Ложь, Истина'
 'Утверждение 1 не дано, Утверждение 2 верно.'
 'Утверждение 1 ложно, утверждение 2 не дано.' 'Ложь, ложь'
 'Истинно, истинно, выведи только русский текст.' 'Истина, Ложь'
 'Утверждение 1 не дано, утверждение 2 ложно.']",G,6,,math,ori_mmlu-abstract_algebra
7747,"26-футовая лестница опирается на здание таким образом, что ее основание отдаляется от здания со скоростью 3 фута в секунду. Когда основание лестницы находится на расстоянии 10 футов от здания, верхняя часть движется вниз со скоростью r футов в секунду, где r - это...","['9/4 = 2 и 1/4' '2' '5/4 переводится на русский как ""пять четвертых"".'
 '4' '46/3 = 15,333333333333333\n\nВывод: 15,333333333333333'
 '7/4 - семь четвертых.' '3/4 переводится на русский как ""три четверти"".'
 '""две трети"".' '2/5 - две пятых' '2 1/2']",C,2,,math,ori_mmlu-high_school_mathematics
3041,Какие трудности возникают при классификации тканей высших растений?,"['Растительные ткани могут быть полностью характеризованы на основе их эволюционного наследия.'
 'Растительные ткани отличаются только своим клеточным составом, не учитывая их функцию.'
 'Все ткани растений являются меристематическими и способны непрерывно делиться.'
 'Растительные ткани могут быть классифицированы легко, так как они не проявляют пластичности или изменений в ответ на окружающие условия.'
 'Ткани растений идентичны у цветковых и хвойных растений, что делает классификацию простой.'
 'Классификация растительных тканей несложна из-за однородности клеток внутри определенного типа ткани.'
 'Растительные ткани не могут быть полностью характеризованы или отличены на основе одного единственного фактора, такого как местоположение, функция, структура или эволюционное наследие. Некоторые постоянные ткани могут превращаться в меристематическую активность при определенных условиях.'
 'Растительные ткани могут быть классифицированы исключительно на основе типа клеточной стенки, которую они имеют.'
 'Растительные ткани могут быть легко отличимы на основе их местоположения и функции.'
 'Все ткани растения остаются неизменными на протяжении всего своего жизненного цикла.']",G,6,,biology,stemez-Biology
1142,empty,"['виновный, потому что местоположение преступления не влияет на намерение совершить преступление.'
 'виновный, потому что согласие на совершение преступления достаточно для предъявления обвинения в заговоре.'
 'не виновен, потому что он не согласился совершить преступление в федеральном парке.'
 'виновный, потому что федеральные законы о заговоре требуют только намерения совершить запрещенное действие, но не требуют знания окружающих обстоятельств.'
 'не виновен, потому что он на самом деле не нашел жертву для совершения нападения.'
 'Не виновен, потому что у него не было специфического намерения совершить преступление нападения в федеральном парке.'
 'не виновен, потому что ему не хватало знаний о том, что его действия являются незаконными.'
 'не виновен, потому что он фактически не совершил нападение.'
 'виновный, потому что федеральные законы о заговоре не требуют сохранения умственного владения юрисдикционными требованиями.'
 'виновный, потому что его показания свидетельствуют о его намерении причинить вред пострадавшему.']",I,8,,law,ori_mmlu-professional_law
12041,"Вода при температуре 70°F (\mu = 1 cp) течет со скоростью 15 фут/с над тонкой плоской пластиной вдоль (в направлении потока). Найдите расстояние от переднего края, на котором толщина пограничного слоя составляет 0,75 дюйма.","['9.81 фут - это примерно 2.99 метра.' '2.97 фута' '5.6 футов'
 '7.25 футов' '4.67 фута' '0.85 футов' '12.4 фута' '3.53 фута' '218 футов'
 '1.75 фута']",H,7,,engineering,stemez-TransportPhenomena
1710,"Популярный певец выразил интерес в выступлении в музыкальном спектакле театрального продюсера. Продюсер и певец согласились, что между ними не будет обязательств по контракту до заключения окончательного подписанного договора. Затем они начали переговоры о условиях контракта. Во время переговоров продюсер начал тратить деньги на производство. Когда стороны не смогли договориться о условиях окончательного контракта, продюсер предпринял разумные, но неудачные попытки найти другого певца, прежде чем отказаться от производства. Если продюсер подает в суд на певца, что он, скорее всего, получит в итоге?","['Возмещение затрат на поиск заменяющего певца.'
 'Ожидаемые убытки в виде прибыли, которую производство могло бы получить, если бы оно было выполнено.'
 'Требование о конкретном исполнении, требующее от певца выступить в мюзикле.'
 'Ущерб, вызванный потерей продаж билетов в результате отмены спектакля.'
 'Ничего, потому что для продюсера не было разумно ожидать возмещения затрат, если он знал, что певец не обязан до заключения окончательного подписанного соглашения.'
 'Ущерб в виде реальных расходов, понесенных продюсером в процессе переговоров с певцом.'
 'Возмещение ущерба для деловых отношений производителя, вызванного неудачей производства.'
 'Ущерб, связанный с надеждами, в виде расходов, которые был бы понес производитель, если бы производство продолжалось.'
 'Возмещение ущерба, причиненного репутации производителя в случае прекращения производства.'
 'Взыскание компенсации в связи с невыполнением певцом условий контракта.']",E,4,,law,ori_mmlu-professional_law
3943,"Учитывая реакцию Zn \rightarrow Zn^+2 + 2e^- с E° = +0.763, вычислите E для электрода цинка, в котором концентрация Zn^+2 составляет 0.025 М.","['0,765 В' '0.725 Вольт' '790 В' '800 В' '0,770 В' '850 В' '810 Вольт'
 '0,750 В' '0.835 В - восемьсот тридцать пять милливольт' '820 Вольт']",G,6,,chemistry,stemez-Chemistry
8608,"Двухшаговый метод Адамса-Башфорта аппроксимации использует схему аппроксимации $y_{i+2}=y_{i+1} - 1/2 * hf(t_i,y_i)+ 3/2 * hf(t_{i+1},y_{i+1})$. Учитывая, что y(0)=1 и y(1)=2, используем метод Адамса-Башфорта для аппроксимации y(3) для y=-y^2 с шагом h=1.","['""минус двадцать целых двадцать пять сотых"".'
 '""минус восемнадцать целых триста семьдесят пять тысячных"".' '-15.5'
 '-17.0' '-14.75' '""минус двадцать два целых сто двадцать пять тысячных"".'
 '-23.0' '-21.5' '""минус девятнадцать целых восемьдесят пять тысячных"".'
 '-16.625 на русском языке: минус шестнадцать целых шестьсот двадцать пять тысячных.']",I,8,,math,theoremQA-Math
12189,"Для точечной связи на более высоких частотах желаемая диаграмма направленности представляет собой узкий лепесток или луч. Чтобы получить такую характеристику (по крайней мере, приближенно), обычно используется многоэлементный линейный массив. Массив является линейным, когда элементы массива равномерно распределены вдоль прямой линии. В равномерном линейном массиве элементы питаются токами одинаковой амплитуды и имеют равномерный прогрессивный фазовый сдвиг вдоль линии. Диаграмма такого массива может быть получена путем векторного сложения амплитуд полей, вызванных каждым из элементов. Для равномерного массива ненаправленных элементов амплитуда поля будет E_T = E_0 |1 + e^J\psi + e^J2\psi + e^J3\psi + ... + e^j^(^n-1)\psi| (1), где \psi = \betadcos\textphi + \alpha и \alpha - прогрессивный фазовый сдвиг между элементами (\alpha - угол, на который ток в любом элементе опережает ток в предыдущем элементе). Вычислите диаграмму такого линейного массива.","['0.512 - ноль целых пятьсот двенадцать тысячных'
 '0.612 - шестьсот двенадцать тысячных' '0.212 - две сотые двенадцатая.'
 '0.212 (с другим сдвигом фазы)'
 '0.412 - ноль целых четыреста двенадцать тысячных'
 '0.312 - ноль целых триста двенадцать тысячных'
 '0.112 - ноль целых сто двенадцать тысячных'
 '0.712 - семьсот двенадцать тысячных'
 '0.912 - это девятьсот двенадцать тысячных.'
 '0.112 (с другим промежутком между элементами) - ноль целых сто двенадцать тысячных']",C,2,,engineering,stemez-ElectronicCommunications
